bar,action,entry,exit,result,profit_usd,lot,score
10058,BUY,53052.5,52320.01225590453,SL,-799.9999999999975,0.010921684443852272,0.807
10059,SELL,53102.5,53475.73,TIMEOUT,-423.0147516961499,0.011333889336230911,0.665
10075,SELL,53237.5,52321.339076239914,TP,2120.2878426485718,0.023143181374146983,0.654
10103,SELL,52137.0,52576.654108541385,SL,-803.5890923638092,0.018277756917360125,0.95
10122,BUY,52649.5,52208.22614462327,SL,-800.3747359943562,0.018137823626805535,0.807
10124,BUY,52589.5,53733.34287702381,TP,1992.9330926259433,0.017423136801895382,0.945
10125,BUY,52657.5,52209.07264567687,SL,-805.144969420886,0.017954858499571083,0.95
10187,BUY,53470.0,53410.5,TIMEOUT,-120.08691571253406,0.02018267490966959,0.686
10232,SELL,53850.5,54106.39871939429,SL,-801.4440418803376,0.03131879845969348,0.95
10296,SELL,53510.73,52720.2799903997,TP,1995.5956642820713,0.025246323487188763,0.95
10297,SELL,53475.73,52686.38356251401,TP,2015.5516209248783,0.025534436151308414,0.95
10298,SELL,53541.0,52773.11759376301,TP,2035.7071371341256,0.02651066257801264,0.769
10387,BUY,53391.5,53118.42936335513,SL,-822.4256834021845,0.030117690188408926,0.95
10460,SELL,50936.73,51382.86532538069,SL,-819.1359806685858,0.01836070658537553,0.807
10462,SELL,50940.0,51373.29239790478,SL,-815.8594367459102,0.01882930419945212,0.686
10463,SELL,51030.0,51456.98579805443,SL,-812.5959989989207,0.01903098423182987,0.564
10464,SELL,50910.0,51341.84395533626,SL,-809.3456150029309,0.018741621944730495,0.686
10539,SELL,51103.44,51353.571719833926,SL,-806.1082325429066,0.032227349377285136,0.769
10540,SELL,51125.44,50650.338234594135,TP,2141.0234656339985,0.04506452346698772,0.769
10541,SELL,51118.44,50658.70264640884,TP,2163.861049267422,0.04706733164848984,0.769
10568,BUY,51366.0,51039.19696594184,SL,-820.103337672356,0.02509472839001865,0.565
10609,BUY,51711.5,52524.64189819669,TP,2178.194464857771,0.026787384461289716,0.95
10671,BUY,53695.5,54545.05347803476,TP,2063.8392554527245,0.02429322354405433,0.95
10710,BUY,54360.5,54060.547816133745,SL,-833.7910592029049,0.02779746586458201,0.95
10723,SELL,54175.44,53690.830931484976,TP,2214.5490532428935,0.0456976395433307,0.769
10724,SELL,54206.44,53739.30300780747,TP,2238.170909810838,0.04791251703929249,0.712
10725,SELL,54204.44,53765.241364392656,TP,2262.0447328488117,0.05150391074691612,0.769
10726,SELL,54214.44,53782.612695507465,TP,2286.173209999205,0.05294184008780562,0.769
10729,SELL,54199.73,53763.81724928204,TP,2310.559057572517,0.0530050808049761,0.769
10843,SELL,53114.0,53303.97073294765,SL,-875.701882819999,0.046096673378699264,0.712
10844,SELL,53093.5,53279.27639487996,SL,-872.1990752887182,0.04694886429744117,0.712
10896,BUY,53603.0,53231.03131985902,SL,-868.7102789875615,0.023354393134882166,0.95
10897,BUY,53563.5,53192.38622558338,SL,-865.2354378716046,0.023314560049185234,0.95
