bar,action,entry,exit,result,profit_usd,lot,score
10016,SELL,212.859,213.04524568479192,SL,-800.0000000000199,0.042954015331621534,0.946
10018,SELL,212.867,213.04610214658078,SL,-796.8000000000468,0.04448857901547424,0.95
10019,SELL,212.872,213.0436662789679,SL,-793.6128000000593,0.04622997625227063,0.95
10020,SELL,212.83,212.99540440189875,SL,-790.4383488000565,0.04778822931713493,0.95
10026,SELL,212.798,212.987515460013,SL,-787.2765954047635,0.04154154997965997,0.95
10065,BUY,213.022,212.89083331115785,SL,-784.1274890232269,0.05978099286831225,0.95
10091,SELL,212.506,212.74280622560914,SL,-780.990979067051,0.03298017089956506,0.95
10107,BUY,212.723,212.42806646497525,SL,-777.8670151508097,0.026374315660153264,0.95
10110,BUY,212.76,212.5524120873407,SL,-774.7555470902181,0.037321804394355736,0.95
10111,BUY,212.787,212.58834693824497,SL,-771.6565249018454,0.03884443149702792,0.95
10118,SELL,212.614,212.1573792258561,TP,2049.5197301393414,0.04488450473988704,0.95
10119,SELL,212.618,212.1782807097235,TP,2071.3812739274554,0.047106900236853766,0.95
10121,SELL,212.631,212.205017550731,TP,2093.4760075160393,0.04914465399005155,0.95
10147,SELL,211.996,211.36179774151566,TP,1983.5685171214686,0.03127659182201438,0.95
10148,SELL,211.988,211.3769550456931,TP,2003.4042022926824,0.03278652721329065,0.95
10150,SELL,211.98,211.36652246286803,TP,2023.438244315594,0.032983086125292986,0.95
10151,SELL,212.018,211.42191371552033,TP,2043.6726267587494,0.03428484566697756,0.95
10203,SELL,210.412,210.71211541425635,SL,-825.6437412105516,0.027510874216721826,0.95
10204,SELL,210.438,210.72825002752373,SL,-822.3411662456915,0.02833216497036958,0.95
10205,SELL,210.393,210.67566073984347,SL,-819.0518015806792,0.028976496772571383,0.95
10220,BUY,210.494,210.99881418205067,TP,2175.401584998419,0.04309311549373398,0.95
10222,BUY,210.584,211.071151003911,TP,2198.605868571641,0.0451319170220426,0.939
10240,BUY,210.875,210.62429814352598,SL,-833.27162418866,0.033237553000529906,0.95
10241,BUY,210.816,210.63068977852703,SL,-829.9385376918808,0.04478644141132379,0.95
10242,BUY,210.847,210.66731908006082,SL,-826.6187835411005,0.04600481697338081,0.95
10243,BUY,210.849,210.6750820029136,SL,-823.3123084069523,0.04733910936186681,0.95
10244,BUY,210.819,210.64593328841977,SL,-820.0190591733167,0.04738167448182113,0.937
10245,BUY,210.829,210.66197376781835,SL,-816.7389829367239,0.048898844946011315,0.946
10246,BUY,210.804,210.64322564154563,SL,-813.4720270048666,0.05059712474210952,0.95
10247,BUY,210.722,210.5589952385781,SL,-810.2181388968261,0.04970518234124966,0.944
10248,BUY,210.721,210.56503129296536,SL,-806.9772663412828,0.0517396907164222,0.95
10253,SELL,210.711,210.9025285755954,SL,-803.749357275897,0.04196498380345421,0.95
10254,SELL,210.749,210.94120510591,SL,-800.5343598468136,0.04165000487664673,0.95
10255,SELL,210.676,210.868297598345,SL,-797.3322224074996,0.04146345192397678,0.95
10256,SELL,210.772,210.96931205560608,SL,-794.1428935178561,0.04024806751308017,0.95
10270,BUY,210.928,210.72326271426246,SL,-790.9663219437934,0.03863323278387967,0.95
10299,SELL,210.266,210.71277554993196,SL,-787.8024566559639,0.017633070045483024,0.95
10300,SELL,210.309,210.7405772963654,SL,-784.6512468293218,0.018181013075465536,0.95
10301,SELL,210.292,210.7134646323393,SL,-781.5126418420358,0.01854278109895741,0.95
10302,SELL,210.384,210.7927885871722,SL,-778.3865912746563,0.019041299480964828,0.95
10303,SELL,210.315,210.70744654523133,SL,-775.2730449095617,0.019754869913622464,0.95
10304,SELL,210.203,210.5869860777148,SL,-772.1719527299151,0.02010937368680894,0.95
10306,SELL,210.252,210.529031813012,SL,-769.0832649189985,0.027761550435569642,0.95
